timestamp,imsi,lac_id,cell_id,realtime,year,month,day,hour,minute,second,base_id,longitude,latitude
1.54E+12,4.60E+17,16789,67567924,2.02E+13,2018,10,3,0,4,51,16789-67567924,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567884,2.02E+13,2018,10,3,0,7,15,16789-67567884,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567924,2.02E+13,2018,10,3,0,41,22,16789-67567924,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567925,2.02E+13,2018,10,3,0,43,19,16789-67567925,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567925,2.02E+13,2018,10,3,0,48,59,16789-67567925,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,2614580,2.02E+13,2018,10,3,0,49,42,16789-2614580,123.411911,41.81045914
1.54E+12,4.60E+17,16789,67567925,2.02E+13,2018,10,3,1,28,7,16789-67567925,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567924,2.02E+13,2018,10,3,1,49,7,16789-67567924,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567935,2.02E+13,2018,10,3,4,25,11,16789-67567935,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567935,2.02E+13,2018,10,3,4,25,30,16789-67567935,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567924,2.02E+13,2018,10,3,5,18,44,16789-67567924,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567884,2.02E+13,2018,10,3,6,40,38,16789-67567884,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567884,2.02E+13,2018,10,3,7,3,49,16789-67567884,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67567935,2.02E+13,2018,10,3,7,36,40,16789-67567935,123.4159698,41.80778122
1.54E+12,4.60E+17,16789,67291445,2.02E+13,2018,10,3,7,39,41,16789-67291445,123.4166718,41.8102417
1.54E+12,4.60E+17,16789,67494925,2.02E+13,2018,10,3,7,51,12,16789-67494925,123.4320221,41.80392075
1.54E+12,4.60E+17,16640,67195659,2.02E+13,2018,10,3,7,53,48,16640-67195659,123.4372406,41.7996788
1.54E+12,4.60E+17,16407,67197709,2.02E+13,2018,10,3,7,54,57,16407-67197709,123.4421463,41.8010788
1.54E+12,4.60E+17,16640,67195659,2.02E+13,2018,10,3,7,55,23,16640-67195659,123.4372406,41.7996788
1.54E+12,4.60E+17,16789,67200820,2.02E+13,2018,10,3,8,1,2,16789-67200820,123.4396362,41.80488968
1.54E+12,4.60E+17,16789,67200820,2.02E+13,2018,10,3,8,2,47,16789-67200820,123.4396362,41.80488968
